dataset,model,coherence_c_v,coherence_c_uci,coherence_c_npmi,coherence_u_mass,diversity,supervised_correlation
M10,LDAModel,0.44905490758984207,-0.4995603928859773,-0.0014020932173871236,-2.3190123288417146,0.826,0.36080080122701674
M10,BERTopicModel,0.5191119667658524,-0.95285110934031,-0.004757720091561047,-2.6053264644778116,0.9181818181818182,0.5123219335005192
M10,GuidedLDAModel,0.47677332016559915,-0.5626181939818684,-0.007544629463001322,-2.3044381629628288,1.0,0.30778572432503654
M10,GuidedBERTopicModel,0.5257123864274535,-0.13665745335256757,0.028913573749112246,-2.376991853180764,0.909090909090909,0.531812043982169
