dataset,model,coherence_c_v,coherence_c_uci,coherence_c_npmi,coherence_u_mass,diversity,supervised_correlation
DBLP,LDAModel,0.5444368876643004,-0.2754897920395121,0.01750564669257489,-2.186398748508716,0.8150000000000001,0.5016954054939441
DBLP,BERTopicModel,0.5180614628962592,-0.03815580120042217,0.02623512175259777,-2.315851484323992,0.8119999999999999,0.10904852031118525
DBLP,GuidedLDAModel,0.5231953487768823,-0.11931904501794682,0.006699668760471215,-2.471982187159173,1.0,0.37315087748939596
DBLP,GuidedBERTopicModel,0.5551263579935114,-0.38449972536416693,0.012776200021343342,-2.4237895157854195,0.72,0.04533981648722667
