dataset,Dataset Type,F1 score
BBC_News,train,0.5696629213483146
BBC_News,test,0.5303370786516854
20NewsGroup,train,0.3732658848777497
20NewsGroup,test,0.3589822194972409
DBLP,train,0.5844170711603627
DBLP,test,0.5925451048630827
M10,train,0.4035008976660682
M10,test,0.4063435068821065
