,F1 score,Model
0,0.4488455182290802,BERTopic
1,0.38566170548439743,GuidedBERTopic
2,0.23625864701553795,GuidedLDA
3,0.3349515560429138,LDA
4,0.28,Lbl2Vec
5,0.1,Random
