,F1 score,Model
0,0.20402925099920188,BERTopic
1,0.21703738950371151,GuidedBERTopic
2,0.24134068912105158,GuidedLDA
3,0.489487120691931,LDA
4,0.55,Lbl2Vec
5,0.25,Random
